video_id,title,description,channel,publish_date,view_count,like_count,comment_count
8Ff6DnZ0gAY,Tamil Nadu Exit Polls 2026: DMK Wins or Hung Assembly? The Vijay Factor Explains! | News18 Updates,"Tamil Nadu exit polls show a highly fractured verdict ahead
2 major narratives emerging: a tight #DMK vs #AIADMK contest in one projection, and a full-blown three-way split in another. 

#TamilNaduElections2026 #TNExitPolls #TVK #DMK #AIADMK #VijayPoliticalEntry #TNPolitics 
n18oc_politics

News18 Mobile App - https://onelink.to/desc-youtube",CNN-News18,2026-04-30T02:38:40Z,9607,17,15
AAY2oO5FXWk,LIVE🔴: Vijay As Tamil Nadu CM! Tamil Nadu Assembly Elections 2026 | DMK VS TVK | T News,"LIVE🔴: Vijay As Tamil Nadu CM! Tamil Nadu Assembly Elections 2026 | DMK VS TVK | T News
#Vijay #TamilNaduElections2026 #DMKvsTVK #TVK #BreakingNews #TNews #TamilPolitics #LiveNews #election2026 

Stay updated with the latest Telugu news, breaking news, and trending stories from Telangana & etc.. Get current news on politics, cinema, and sports, and stay informed. Watch this video for the latest Telugu news right now!

For advertisement Contact - 9553955388 / 9553955409
Mail - advt@tnewslive.com


Welcome to T News Live. First Telugu News channel in Telangana, T News Live provides 24/7 coverage of breaking news, live updates, and exclusive interviews. Stay informed with the latest political developments, including updates from BRS (Bharath Rashtra Samithi), Congress & BJP Parties. Our diverse programming features engaging content such as political debates like Varthalu Vastavalu, sports news, weather updates, entertainment highlights, and business news. Join us for comprehensive coverage that keeps you connected with the heartbeat of Telangana. Subscribe to T News Telugu for the latest news and updates.
✔️ Subscribe        : https://bit.ly/3TUVpOL
🔴 LIVE Stream    : https://www.youtube.com/watch?v=ANU5_XHW2wA
✔️ WhatsApp Channel : https://shorturl.at/tFWX7
#Tnews #TnewsLive #TnewsTelugu
Facebook : https://www.facebook.com/tnewstelugu
Instagram : https://www.instagram.com/tnewstelugu
Twitter  : https://twitter.com/tnewstelugu
WhatsApp     : https://bit.ly/3oTbYNY
Website          : https://tnewstelugu.com
                                                                    -----*****-----",T News Telugu,2026-05-01T03:08:56Z,4453,31,0
LKLi6pSwnTw,📊 Tamil Nadu Assembly Election 2026: Mega Opinion Poll Analysis 🔥🚨😱 #ias #tmc #tmcvsbjp,"📊 Tamil Nadu Assembly Election 2026: Mega Opinion Poll Analysis 🔥🚨😱
.
.
.
.
.
​Will Thalapathy Vijay's TVK create history in the upcoming Tamil Nadu elections? In this video, we dive deep into the latest ground-level updates and seat projections for the Tamil Nadu Vidhan Sabha Chunav. According to recent trends and surveys, the political landscape is shifting. Can the TVK secure a majority with 120+ seats, or will the DMK and AIADMK maintain their strongholds? We analyze the performance of all major parties including BJP and NTK.
​Watch the full video for a detailed breakdown of district-wise data, voter sentiment, and the potential ""Vijay Factor"" in TN politics!

​🔍 Key Highlights:🔥🔥
​TVK Projection: Is the 120+ seat mark realistic for Thalapathy Vijay?
​DMK & AIADMK: How many seats will the traditional giants retain?
​Third Front & Others: The impact of BJP and NTK on the final results.
​CM Race: Who is the public’s first choice for the next Chief Minister?
​📢 Stay Connected:
​For more regular updates on General Knowledge, Current Affairs, and Political Analysis, make sure to subscribe!
Video Credits & Research: Anandgkstudy

​#️⃣​​ Hashtags:✅✅✅
​#TamilNaduElection2026​​ #VijayTVK​​ #ThalapathyVijay​​ #TNElectionUpdate​​ #OpinionPoll2026​​ #DMK​​ #AIADMK​​ #Anandgkstudy​​ #TNPolitics​​ #TamilNaduChunav​​ #ExitPoll​​ #PoliticalAnalysis​​

​⚠️ Disclaimer:🚨🚨
​General Knowledge & Educational Purposes Only: The data, seat projections, and figures shown in this video are based on various media reports, public surveys, and opinion polls. These are projections and not the actual final results. This video is intended for educational and informative purposes to discuss political trends and general studies. We do not guarantee the 100% accuracy of these figures as voter sentiment can change. Please refer to the Election Commission of India for official data",vhinodk ,2026-05-01T01:02:22Z,4321,0,1
-Sg8LvzhiBA,Tamilnadu Assembly Election First Opinion Poll Survey || TN Election malayam Exit Poll 2026 |#dmk,Tamilnadu assembly election 2026 New opinion poll survey came out #tamilnadupolitics #tamilshorts #tamilnaduelection2026 #tamil #congress #opinionpoll #bjp #bjp4india #pmelection2029 #pmmodi #rahulgandhi#keralapolitics #bjpkerala #opinionpoll #tamilshorts #bjp4india #pmelection2029 #congress,Political Survey ,2026-04-27T16:41:47Z,114722,79,0
UyyNMYgwePI,TVK To Win 98 To 120 Of Tamil Nadu Assembly Election | Axis My India Exit Poll Results 2026,"TVK To Win 98 To 120 Of Tamil Nadu Assembly Election | Axis My India Exit Poll Results 2026 | @SakshiTV  
 #TVK    #TamilNaduAssemblyResutls  #AxisMyIndiaExitPollResults  #AxisMyIndia  #SakshiTV 
Sakshi Big Question 👉 https://tinyurl.com/454hxh6e

Watch Sakshi TV LIVE - https://youtu.be/9kCcUipLPJM

Watch Sakshi TV, around-the-clock 'Telugu News' station, bringing you the first account of all the latest news online from around the world including breaking news, exclusive interviews, live reports, sports update, weather reports, business trends, entertainment news, and stock market news. 
  
                                     -----*****-----

For the latest news & updates: Subscribe :
--
Subscribe  us @ : http://goo.gl/wD6jKj
Visit us @ http://www.sakshi.com
Like us on https://facebook.com/sakshitv
Follow us on https://whatsapp.com/channel/0029VaAuOfT2UPBOpKKkUX3K",Sakshi TV,2026-04-30T11:23:16Z,24295,436,40
SrSj2YpAh7Q,Tamilnadu Assembly Election First Opinion Poll Survey || TN Election malayam Exit Poll 2026 |#dmk,Tamilnadu assembly election 2026 New opinion poll survey came out #tamilnadupolitics #tamilshorts #tamilnaduelection2026 #tamil #congress #opinionpoll #bjp #bjp4india #pmelection2029 #pmmodi #rahulgandhi#keralapolitics #bjpkerala #opinionpoll #tamilshorts #bjp4india #pmelection2029 #congress,Political Survey ,2026-04-27T15:53:50Z,983446,693,18
Kq_PFEzxY0M,Tamilnadu Assembly Election First Opinion Poll Survey || TN Election malayam Exit Poll 2026 |#dmk,Tamilnadu assembly election 2026 New opinion poll survey came out #tamilnadupolitics #tamilshorts #tamilnaduelection2026 #tamil #congress #opinionpoll #bjp #bjp4india #pmelection2029 #pmmodi #rahulgandhi#keralapolitics #bjpkerala #opinionpoll #tamilshorts #bjp4india #pmelection2029 #congress,Political Survey ,2026-04-27T17:17:22Z,103213,168,11
zXr1-0Vc5n0,tamilnadu assembly election opinionpoll survey #tamilnadu #tamil#tamilshorts #tamilnews #ytshorts,"Tamilnadu Assembly elections 2026! Who will the government!#election#tamilnadu#tamilshorts#bjpnews#tamilnadu#tamil#tamilnews#tamilshorts
#bjp #election #politics #opinionpoll #biharelection #tamilshorts #tamil #tamilnadupolitics #tamilsong #tamil #tamilnadupolitics #tamilnadu #tamilnaduelection2026 #tamilnadunews#congress #news #bjp #keralaelection #breakingnews #tamilnadu #tamil#congress #news #bjp",facts juction,2026-04-28T04:22:39Z,430423,355,37
HdJzzUv85gc,Tamilnadu Assembly Election First Opinion Poll Survey || TN Election malayam Exit Poll 2026 |#dmk,Tamilnadu assembly election 2026 New opinion poll survey came out #tamilnadupolitics #tamilshorts #tamilnaduelection2026 #tamil #congress #opinionpoll #bjp #bjp4india #pmelection2029 #pmmodi #rahulgandhi#keralapolitics #bjpkerala #opinionpoll #tamilshorts #bjp4india #pmelection2029 #congress,Political Survey ,2026-04-27T06:00:37Z,162831,177,2
bpq2bzWTjnU,tamil nadu assembly election opinion Poll,tamil nadu assembly election opinion Poll,electionopinionsurvey,2026-04-27T14:15:57Z,37850,62,1
