video_id,original,cleaned,sentiment,entities
dxqKZaQ4WI0,TVK 128,tvk 128,Neutral,TVK
dxqKZaQ4WI0,BJP 56   26 seeds MLA tickets,bjp 56   26 seeds mla tickets,Neutral,BJP
dxqKZaQ4WI0,Tvk wash out 😅😅😅,tvk wash out,Negative,TVK
dxqKZaQ4WI0,BJP contest only 27 seats 😂😂😂,bjp contest only 27 seats,Neutral,BJP
dxqKZaQ4WI0,What's bro it's very worng bro,whats bro its very worng bro,Negative,
dxqKZaQ4WI0,தமிழ்நாட்டுல. நானூறு  சீட்   இருக்கா,தமிழ்நாட்டுல நானூறு  சீட்   இருக்கா,Neutral,
dxqKZaQ4WI0,DMK Massive victory,dmk massive victory,Positive,DMK
dxqKZaQ4WI0,Tvk ki 80 kadu 8 vastye 18 vastye.,tvk ki 80 kadu 8 vastye 18 vastye,Neutral,TVK
dxqKZaQ4WI0,BJP 0,bjp 0,Neutral,BJP
dxqKZaQ4WI0,Joker vijay😂 from thalaiva❤,joker vijay from thalaiva,Positive,TVK
dxqKZaQ4WI0,337 తమిళనాడులో ఎన్ని స్థానాలు ఎక్కడికి మరి మీలాంటి వీడియో పెట్టడానికైనా సిగ్గు ఉండాలి కనీసం బుద్ధిలేని వీడియో ఒకటి పెడితే క్లారిటీగా ఎన్ని స్థానాలు ఉన్నాయి ఆవిడకి మాత్రమే చూపించాలి,337 తమళనడల ఎనన సథనల ఎకకడక మర మలట వడయ పటటడనకన సగగ ఉడల కనస బదధలన వడయ ఒకట పడత కలరటగ ఎనన సథనల ఉననయ ఆవడక మతరమ చపచల,Neutral,
dxqKZaQ4WI0,What is the name of this comedy channel 😂😂😂,what is the name of this comedy channel,Neutral,
dxqKZaQ4WI0,Iam vote for dmk  jaikanum,iam vote for dmk  jaikanum,Neutral,DMK
dxqKZaQ4WI0,Thalapathy PM of uganda,thalapathy pm of uganda,Positive,TVK
dxqKZaQ4WI0,TVK for TN🎉,tvk for tn,Neutral,TVK
dxqKZaQ4WI0,Jay ho congress ki,jay ho congress ki,Negative,
dxqKZaQ4WI0,80 two100 tvk. DMK 50 two 60.. Anna DMK45two50,80 two100 tvk dmk 50 two 60 anna dmk45two50,Neutral,"DMK,TVK"
dxqKZaQ4WI0,Bjp 50+!!! What a joke! 😂,bjp 50 what a joke,Negative,BJP
dxqKZaQ4WI0,பிஜேபி பி எம் கே எம் கே எங்க கட்சி தான் கொஞ்சம் பாத்து போயிரு,பிஜேபி பி எம் கே எம் கே எங்க கட்சி தான் கொஞ்சம் பாத்து போயிரு,Neutral,
dxqKZaQ4WI0,சும்மா சொல்றீங்களா எப்படி டிவிக்கு எல்லாம் கேக்கல ஏடிஎம்கே தான் எப்பவுமே இருக்கும் இன்னொரு டோட்டல் போட்டு பாரு,சும்மா சொல்றீங்களா எப்படி டிவிக்கு எல்லாம் கேக்கல ஏடிஎம்கே தான் எப்பவுமே இருக்கும் இன்னொரு டோட்டல் போட்டு பாரு,Neutral,
dxqKZaQ4WI0,Tamilnadu a lovely state. We understand BJP the right party for TN.,tamilnadu a lovely state we understand bjp the right party for tn,Positive,BJP
dxqKZaQ4WI0,Total seats tamilnadu -234...but ur count total all partiys 337....it's fake,total seats tamilnadu 234but ur count total all partiys 337its fake,Negative,
dxqKZaQ4WI0,Aalready Dmk vin in Thamil nadu,aalready dmk vin in thamil nadu,Neutral,DMK
dxqKZaQ4WI0,Tvk tha da punda,tvk tha da punda,Negative,TVK
dxqKZaQ4WI0,Kick bjp ass....filthy bastards of the country..we Tamils don't accept these hindi bastards,kick bjp assfilthy bastards of the countrywe tamils dont accept these hindi bastards,Negative,BJP
dxqKZaQ4WI0,Pagal kanavaa😂😂😂😂😂😂😂😂,pagal kanavaa,Negative,
dxqKZaQ4WI0,234 seats but 330+ won 😂😂😂,234 seats but 330 won,Neutral,
dxqKZaQ4WI0,Dmk dmk dmk ❤❤❤❤❤❤❤🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉 coming cm,dmk dmk dmk  coming cm,Neutral,DMK
dxqKZaQ4WI0,Tvk jayikkum....bakki Yellemm 😂😂😂😂😂😂😂😂😂😂😂😂😂,tvk jayikkumbakki yellemm,Neutral,TVK
dxqKZaQ4WI0,This result prepared by TVK,this result prepared by tvk,Neutral,TVK
dxqKZaQ4WI0,T V K,t v k,Neutral,
dxqKZaQ4WI0,யாருமே கவலைப்படாதீங்க டி வி கே தான் வந்து ஜெயிக்கும் சரியா பாய் பாய்,யாருமே கவலைப்படாதீங்க டி வி கே தான் வந்து ஜெயிக்கும் சரியா பாய் பாய்,Neutral,
dxqKZaQ4WI0,Total paru da paithyam,total paru da paithyam,Negative,
dxqKZaQ4WI0,Tvk great 🎉❤,tvk great,Positive,TVK
dxqKZaQ4WI0,Dmk destroy 😊,dmk destroy,Negative,DMK
dxqKZaQ4WI0,Wrong data TVK should take 80%,wrong data tvk should take 80,Negative,TVK
dxqKZaQ4WI0,Aidmk 127,aidmk 127,Neutral,DMK
dxqKZaQ4WI0,Tn was 234 count,tn was 234 count,Neutral,
dxqKZaQ4WI0,Dmk🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮           tvk da🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰,dmk           tvk da,Neutral,"DMK,TVK"
dxqKZaQ4WI0,Hey actually they put hand symbol for DMK no sense,hey actually they put hand symbol for dmk no sense,Negative,DMK
